location,date,new_cases,new_deaths,new_vaccinations,population
Guatemala,2021,490347.0,11297.0,10558771.0,6513028610.0
Guatemala,2022,517015.0,3815.0,2927898.0,5656520738.0
Guernsey,2021,0.0,0.0,15177.0,21658518.0
Guernsey,2022,0.0,0.0,754.0,12222497.0
Guinea,2020,13722.0,81.0,0.0,4074648606.0
Guinea,2021,18329.0,310.0,1080333.0,5058662385.0
Guinea,2022,6071.0,67.0,506074.0,4393413633.0
Guinea-Bissau,2020,2452.0,45.0,0.0,593773560.0
Guinea-Bissau,2021,4032.0,104.0,1658.0,768536700.0
Guinea-Bissau,2022,2364.0,27.0,0.0,667468860.0
Guyana,2020,6347.0,164.0,0.0,238574465.0
Guyana,2021,33241.0,890.0,85545.0,295185355.0
Guyana,2022,31898.0,227.0,60317.0,256366459.0
Haiti,2020,9999.0,237.0,0.0,3324895861.0
Haiti,2021,16170.0,537.0,41453.0,4228526095.0
Haiti,2022,7698.0,87.0,0.0,3672445951.0
High income,2020,42111199.0,873970.0,7169002.0,431427537000.0
High income,2021,95876599.0,1165187.0,2071688409.0,456437829000.0
High income,2022,258775930.0,671677.0,611702737.0,396413128200.0
Honduras,2020,121847.0,3130.0,0.0,3088125968.0
Honduras,2021,257575.0,7304.0,229026.0,3807993170.0
Honduras,2022,78004.0,701.0,0.0,3307215986.0
Hong Kong,2020,8846.0,148.0,0.0,2576168872.0
Hong Kong,2021,3827.0,65.0,9907799.0,2733434995.0
Hong Kong,2022,1973555.0,10313.0,9925679.0,2373969571.0
Hungary,2020,322514.0,9537.0,0.0,3030060416.0
Hungary,2021,933901.0,29649.0,8276404.0,3638065960.0
Hungary,2022,897149.0,8925.0,0.0,3159635368.0
Iceland,2020,5754.0,29.0,0.0,114854124.0
Iceland,2021,21306.0,8.0,258851.0,136109595.0
Iceland,2022,180017.0,150.0,0.0,118210251.0
India,2020,10286709.0,148995.0,0.0,477587341440.0
India,2021,24574870.0,325118.0,1379581163.0,517268188800.0
India,2022,9806715.0,49046.0,723699273.0,449243879040.0
Indonesia,2020,743198.0,22138.0,0.0,84027909920.0
Indonesia,2021,3519522.0,121956.0,272430616.0,100557990560.0
Indonesia,2022,2298784.0,15010.0,58114154.0,87333926048.0
International,2020,721.0,15.0,0.0,0.0
International,2021,0.0,0.0,0.0,0.0
International,2022,0.0,0.0,0.0,0.0
Iran,2020,1225142.0,55223.0,0.0,28070530056.0
Iran,2021,4969259.0,76383.0,2962994.0,32320957320.0
Iran,2022,1364549.0,13006.0,17625429.0,28070530056.0
Iraq,2020,595291.0,12813.0,0.0,13882790688.0
Iraq,2021,1498449.0,11345.0,9985.0,16241085260.0
Iraq,2022,368117.0,1203.0,16843.0,14105271308.0
Ireland,2020,91779.0,2253.0,2186.0,1542094156.0
Ireland,2021,699686.0,3678.0,9800697.0,1833434420.0
Ireland,2022,892696.0,2188.0,1215644.0,1592325236.0
Isle of Man,2020,377.0,25.0,0.0,24261258.0
Isle of Man,2021,13264.0,42.0,86910.0,30854910.0
Isle of Man,2022,24367.0,49.0,6414.0,26797278.0
Israel,2020,423290.0,3325.0,992111.0,2985884000.0
Israel,2021,961872.0,4926.0,15789315.0,3448885000.0
Israel,2022,3311921.0,3550.0,1476948.0,2995333000.0
Italy,2020,2107314.0,74190.0,33465.0,19836590592.0
Italy,2021,4018517.0,63243.0,111317273.0,21548677280.0
Italy,2022,17697509.0,42583.0,30919107.0,18714878624.0
Jamaica,2020,12827.0,302.0,0.0,836905072.0
Jamaica,2021,81093.0,2171.0,389270.0,1031994430.0
Jamaica,2022,58386.0,877.0,176757.0,896280094.0
Japan,2020,235747.0,3492.0,0.0,42763335120.0
Japan,2021,1497558.0,14900.0,201503981.0,45242369040.0
Japan,2022,21470548.0,29293.0,132667783.0,39292687632.0
Jersey,2021,0.0,0.0,0.0,32463228.0
Jersey,2022,0.0,0.0,0.0,34346760.0
Jordan,2020,294604.0,3834.0,0.0,3430906000.0
Jordan,2021,768911.0,8819.0,4260392.0,4119344375.0
Jordan,2022,683592.0,1469.0,16423.0,3577622375.0
Kazakhstan,2020,201196.0,2749.0,0.0,5703011412.0
Kazakhstan,2021,930697.0,15743.0,15348999.0,7080269270.0
Kazakhstan,2022,413709.0,842.0,3306981.0,6149165366.0
Kenya,2020,96458.0,1670.0,0.0,16262272684.0
Kenya,2021,198570.0,3708.0,5561288.0,19720031660.0
Kenya,2022,45403.0,302.0,5552497.0,17126712428.0
Kiribati,2021,2.0,0.0,0.0,29922036.0
Kiribati,2022,3432.0,13.0,0.0,41602129.0
Kosovo,2020,51144.0,1332.0,0.0,522159695.0
Kosovo,2021,110340.0,1658.0,1186546.0,650471975.0
Kosovo,2022,110711.0,212.0,144666.0,564930455.0
Kuwait,2020,150584.0,934.0,0.0,1331892432.0
Kuwait,2021,266551.0,1534.0,11920.0,1558143390.0
Kuwait,2022,245224.0,101.0,24762.0,1353236862.0
Kyrgyzstan,2020,81034.0,1798.0,0.0,1916249469.0
Kyrgyzstan,2021,103655.0,1447.0,1592081.0,2420176665.0
Kyrgyzstan,2022,21775.0,189.0,998595.0,2101906857.0
Laos,2020,41.0,0.0,0.0,2130841991.0
Laos,2021,111019.0,372.0,1790835.0,2748259105.0
Laos,2022,105305.0,387.0,239548.0,2386844209.0
Latvia,2020,40904.0,635.0,2325.0,573702740.0
Latvia,2021,235770.0,3935.0,2553219.0,675488710.0
Latvia,2022,680106.0,1513.0,340160.0,586657318.0
Lebanon,2020,181503.0,1468.0,0.0,1729269360.0
Lebanon,2021,546427.0,7651.0,3933962.0,2003756560.0
Lebanon,2022,491678.0,1602.0,1201019.0,1740248848.0
Lesotho,2020,3094.0,51.0,0.0,537257458.0
Lesotho,2021,25314.0,614.0,0.0,841626490.0
Lesotho,2022,6082.0,41.0,0.0,730946842.0
Liberia,2020,1803.0,83.0,0.0,1537780100.0
Liberia,2021,4601.0,204.0,10089.0,1935481850.0
Liberia,2022,1720.0,7.0,0.0,1680952730.0
Libya,2020,100277.0,1481.0,0.0,2064140232.0
Libya,2021,288457.0,4232.0,81613.0,2486505560.0
Libya,2022,118326.0,727.0,119042.0,2159513048.0
Liechtenstein,2020,2225.0,44.0,0.0,11924565.0
Liechtenstein,2021,3910.0,25.0,53593.0,14364575.0
Liechtenstein,2022,14619.0,19.0,5942.0,12475535.0
Lithuania,2020,145052.0,1800.0,7338.0,792016704.0
Lithuania,2021,379375.0,5597.0,4121671.0,1003771170.0
Lithuania,2022,747419.0,2017.0,387995.0,871768386.0
Low income,2020,403391.0,10140.0,0.0,230870333700.0
Low income,2021,1408627.0,32044.0,80059398.0,269225788500.0
Low income,2022,442356.0,5554.0,148801428.0,233820753300.0
Lower middle income,2020,17290937.0,325320.0,0.0,1184073568500.0
Lower middle income,2021,48800786.0,867509.0,2849743807.0,1252715514500.0
Lower middle income,2022,29957105.0,140650.0,1832716966.0,1087974844100.0
Luxembourg,2020,47763.0,497.0,799.0,202699113.0
Luxembourg,2021,57351.0,420.0,993983.0,236374365.0
Luxembourg,2022,199805.0,237.0,272181.0,205289517.0
Macao,2020,45.0,0.0,0.0,239837100.0
Macao,2021,33.0,0.0,551303.0,253740700.0
Macao,2022,716.0,6.0,367528.0,220372060.0
Madagascar,2020,17721.0,261.0,0.0,8498563066.0
Madagascar,2021,32565.0,766.0,13544.0,10808277070.0
Madagascar,2022,16580.0,384.0,0.0,9386914606.0
Malawi,2020,6583.0,189.0,0.0,5672678404.0
Malawi,2021,68492.0,2175.0,1162205.0,7447941070.0
Malawi,2022,13050.0,321.0,94788.0,6468485806.0
Malaysia,2020,113010.0,471.0,0.0,11640808088.0
Malaysia,2021,2645076.0,31016.0,57838514.0,12387448840.0
Malaysia,2022,2190839.0,5083.0,14382749.0,10758414472.0
Maldives,2020,13757.0,48.0,0.0,156615602.0
Maldives,2021,81943.0,214.0,702479.0,191186270.0
Maldives,2022,89754.0,47.0,70093.0,166043966.0
Mali,2020,7090.0,269.0,0.0,6371394636.0
Mali,2021,13918.0,391.0,0.0,8246663270.0
Mali,2022,11737.0,82.0,0.0,7162170566.0
Malta,2020,12816.0,221.0,0.0,161054486.0
Malta,2021,39699.0,257.0,1038529.0,194651945.0
Malta,2022,63124.0,332.0,291176.0,169053881.0
Marshall Islands,2020,5.0,0.0,0.0,9940727.0
Marshall Islands,2021,0.0,0.0,0.0,15181445.0
